순위,제목,가수,앨범명
1,봄여름가을겨울(StillLife),BIGBANG (빅뱅),봄여름가을겨울 (Still Life)
2,LOVEDIVE,IVE (아이브),LOVE DIVE
3,TOMBOY,(여자)아이들,I NEVER DIE
4,FeelMyRhythm,Red Velvet (레드벨벳),'The ReVe Festival 2022 - Feel My Rhythm'
5,사랑인가봐,멜로망스 (MeloMance),사랑인가 봐 (사내맞선 OST 스페셜 트랙)
6,GANADARA(Feat.아이유),박재범,GANADARA
7,취중고백,김민석 (멜로망스),취중고백
8,듣고싶을까,MSG워너비 (M.O.M),듣고 싶을까
9,사랑은늘도망가,임영웅,신사와 아가씨 OST Part.2
10,INVU,태연 (TAEYEON),INVU - The 3rd Album
11,LOVEme,BE'O (비오),LOVE me
12,다정히내이름을부르면,경서예지 & 전건호,다정히 내 이름을 부르면 (경서예지 x 전건호)
13,abcdefu,GAYLE,abcdefu
14,신호등,이무진,신호등
15,ELEVEN,IVE (아이브),ELEVEN
16,"스물다섯,스물하나",자우림,"Goodbye, grief."
17,언제나사랑해,케이시 (Kassy),조영수 리메이크 프로젝트 Part.2
18,이제나만믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
19,Stay,The Kid LAROI & Justin Bieber,Stay
20,회전목마(Feat.Zion.T&원슈타인)(Prod.bySlom),sokodomo,쇼미더머니 10 Episode 2
21,어제처럼,폴킴,어제처럼
22,다시사랑한다면(김필Ver.),임영웅,사랑의 콜센타 PART56
23,너의번호를누르고,김나영,너의 번호를 누르고
24,RUN2U,STAYC (스테이씨),YOUNG-LUV.COM
25,strawberrymoon,아이유 (IU),strawberry moon
26,Stronger(WhatDoesn'tKillYou),Kelly Clarkson,Stronger (What Doesn't Kill You) (Digital Audio Bundle)
27,MYBAG,(여자)아이들,I NEVER DIE
28,흔들리는꽃들속에서네샴푸향이느껴진거야,장범준,멜로가 체질 OST Part 3 (JTBC 금토 드라마)
29,벚꽃엔딩,버스커 버스커 (Busker Busker),버스커 버스커 1집
30,SMILEY(Feat.BIBI),YENA (최예나),SMiLEY
31,리무진(Feat.MINO)(Prod.byGRAY),BE'O (비오),쇼미더머니 10 Episode 3
32,별빛같은나의사랑아,임영웅,별빛 같은 나의 사랑아
33,NextLevel,aespa,Next Level
34,호랑수월가,탑현,호랑수월가
35,그대라는사치,임영웅,사랑의 콜센타 PART62
36,바라만본다,MSG워너비 (M.O.M),MSG워너비 1집
37,너를생각해,주시크 (Joosiq),너를 생각해
38,잊었니,임영웅,사랑의 콜센타 PART60
39,존재만으로,원슈타인,스물다섯 스물하나 OST Part 4
40,RealLove,오마이걸 (OH MY GIRL),Real Love
41,내가아니라도,주호,내가 아니라도
42,끝사랑,임영웅,사랑의 콜센타 PART61
43,HERO,임영웅,HERO
44,라일락,아이유 (IU),IU 5th Album 'LILAC'
45,OHAYOMYNIGHT,디핵 (D-Hack) & PATEKO,OHAYO MY NIGHT
46,Weekend,태연 (TAEYEON),Weekend
47,우연히봄,로꼬 & 유주 (YUJU),냄새를 보는 소녀 OST Part.2 (SBS 수목드라마)
48,Blueming,아이유 (IU),Love poem
49,Starlight,태일 (TAEIL),스물다섯 스물하나 OST Part 1
50,BkLove,임영웅,뽕숭아학당 PART23
